,ts,lstm,gru,bp,elm,svm,rw,arima,rf,mlp,dt,lstm,gru,bp,elm,svm,rw,arima,rf,mlp,dt,lstm,gru,bp,elm,svm,rw,arima,rf,mlp,dt
1666,31.29,31.15746405,31.06426057,31.22014105,31.45247947,30.61928579,32.02288814,31.50097115,30.86904438,31.43613682,30.09007308,31.43160087,31.36460437,31.32456777,31.40160688,31.66387648,31.89924808,31.34947438,31.25991666,31.63761659,33.25813277,31.79459978,31.94549466,31.73053975,32.28937932,30.46939807,31.98,32.0137538,30.18849657,32.15946127,27.19880898
1667,31.61,31.11549251,31.02563392,31.23997031,31.4155057,30.61820354,31.43912006,31.39394113,30.85595082,31.41201007,30.09007308,31.37138459,31.29054228,31.27036351,31.33452534,31.73965583,31.30548339,31.1182592,31.57943457,31.2932828,33.0464031,31.23323583,31.53774491,31.25445307,31.58720613,29.9791277,31.29,31.44803456,29.4239874,31.79597651,27.19880898
1668,31.92,31.90245942,31.79518076,32.07008897,32.23452529,31.36665203,31.38889576,32.24261109,31.45761062,32.19020026,30.58863635,31.66287392,31.61293407,31.56927279,31.76842435,31.97243259,31.58726729,31.49667143,31.45322446,31.61980178,32.93463509,31.53108328,31.66784919,31.48046896,31.6334124,30.17311463,31.61,31.84938341,29.58080457,31.91377865,27.19880898
1669,32.13,31.38929148,31.3007594,31.63963098,31.72084462,30.84749002,32.19529688,31.76644769,30.9092832,31.67340943,30.09007308,32.36902153,32.33822763,32.26264916,32.23792723,32.60296171,31.9934219,32.19708972,32.38354779,32.24334218,33.74069899,31.80727517,31.93015268,31.77579927,32.01766276,30.43835669,31.92,32.1986582,29.4329845,32.00984794,27.19880898
1670,31.23,31.28698672,31.17043465,31.46431819,31.62732122,30.70302565,31.77846959,31.61444056,30.94804196,31.59486361,30.09007308,32.02530174,32.02132951,31.9407747,32.00050949,32.3392089,31.98940923,31.81378405,31.88563184,31.9729412,32.85200422,31.90077796,32.09744748,31.95201022,32.09689562,30.54975349,32.13,32.38840203,29.77274997,32.43289705,27.19880898
1671,32.99,31.92465995,31.81096643,32.12726881,32.25099429,31.33684928,31.52933202,32.25174495,31.36759082,32.21453524,30.58863635,32.15967602,32.2320138,32.12556263,32.22238339,32.51898704,31.30895555,31.97925278,32.22064214,32.10594982,33.329905,31.45730004,31.63094179,31.35355644,31.66680853,30.10688307,31.23,31.62377776,29.43953515,31.54937034,25.03833539
1672,31.75,31.59273805,31.47246566,31.73077093,31.93446262,30.92616553,32.30129704,31.96181879,30.83995476,31.87546077,30.23906531,32.71718541,32.73292488,32.63707902,32.42374952,32.89079112,33.09445227,32.60819903,32.45992722,32.21377938,33.25813277,32.51822726,32.61050421,32.55789633,32.67813637,31.08686989,32.99,32.99990921,30.10027626,32.96076608,28.53176988
1673,31.51,31.17699546,31.07425914,31.40035301,31.48732247,30.58087316,31.84938097,31.47715341,30.58853049,31.48178605,29.92980979,32.22255086,32.3453458,32.20333263,32.05235682,32.62267061,31.70100073,32.07090496,32.40513787,31.92233971,33.0464031,31.77230345,32.09186472,31.83407141,31.95995546,30.47539616,31.75,32.20941135,29.49831414,32.26387617,27.19880898
1674,32.43,31.99495507,31.85252207,32.1010128,32.33451231,31.28048885,31.57095648,32.32788185,31.12302678,32.28003636,30.58863635,31.96542996,32.13152038,32.00257985,31.96116619,32.41966558,31.49262911,31.872782,32.20162827,31.83524483,33.218137,31.66866345,31.814383,31.52186351,31.60598461,30.2256148,31.51,31.90005245,29.95560154,31.8379548,27.19880898
1675,31.58,31.75545164,31.64849257,31.9086619,32.08877942,31.07066594,32.2755389,32.11724283,30.89152409,32.05908944,30.23906531,32.42595759,32.54714424,32.40295224,32.08162936,32.73893579,32.41267489,32.4546081,32.79720309,32.07516938,33.68615917,32.28736786,32.37019118,32.18970955,32.66096153,30.76773193,32.43,32.58228946,29.61072784,32.79824198,27.19880898
1676,31.24,31.41402873,31.30619968,31.65061825,31.73914962,30.74368547,32.0437178,31.70228496,30.61207083,31.72343441,29.92980979,31.72844418,31.84178623,31.74694462,31.60137049,32.17667916,31.62420971,31.64856736,32.28542231,31.47197374,32.99186327,31.55002139,31.9023163,31.58106643,31.87582391,30.15246215,31.58,31.9277928,29.30006857,32.09775235,25.03833539
1677,32.39,32.00801693,31.86818516,32.16781204,32.37058719,31.25973096,31.7923054,32.37115425,31.02040169,32.32259957,28.96648055,31.64209666,31.76794816,31.69109167,31.6740954,32.06099088,31.27176732,31.72682807,32.20930926,31.49727678,33.27536517,31.45553947,31.62492614,31.29038732,31.49212865,29.9302159,31.24,31.62089182,29.35850556,31.43422384,25.03833539
1678,32.3,31.925468,31.80115019,32.10125144,32.30264139,31.18915644,32.27693791,32.31975175,30.84393287,32.27753406,28.67043637,32.26605773,32.26372738,32.2447769,32.04670123,32.49875967,32.50138233,32.36246191,32.24341885,32.01213729,33.74069899,32.14358828,32.26145198,32.08998668,32.45190497,30.5517622,32.39,32.54505482,29.09904342,32.52980003,27.19880898
1679,32.09,31.48718979,31.3633777,31.74611787,31.86416932,30.74832317,32.21081869,31.83375838,30.49034737,31.84385254,28.46791729,31.73136625,31.67450871,31.69204321,31.50152927,31.92187376,32.1903368,31.77654655,31.37032093,31.32934773,33.25813277,32.02806109,32.32869069,32.13455163,32.24520296,30.54194745,32.3,32.59378634,29.48718183,32.76746579,27.19880898
1680,31.69,31.74583057,31.58647719,31.89739452,32.12987132,30.90819335,31.93259471,32.16539219,30.68913428,32.07797706,28.83279208,32.1108266,32.02659496,32.06218533,32.19600815,32.30164991,32.08882233,32.16076559,32.0335955,32.3511136,33.36990077,32.12694297,32.2656087,32.05568713,32.50924237,30.58481887,32.09,32.48469661,29.88197489,32.47898838,27.19880898
1681,32.44,32.17607637,32.00416733,32.20167164,32.56507254,31.28681782,32.17282879,32.62489999,30.7620121,32.52605805,28.7295828,31.64157877,31.54089296,31.57309659,31.96220487,31.91073773,31.66354938,31.60304461,31.54934489,31.95491666,33.218137,31.96157156,32.06799979,31.74932239,32.14572802,30.3463318,31.69,32.08731514,29.25815154,31.90912521,25.03833539
1682,33.36,32.5708581,32.38895724,32.52934143,32.98771555,31.64329568,32.67224688,33.0037586,30.68939752,32.96036408,30.09007308,32.27644049,32.01509791,32.10483235,32.37003299,32.40355831,32.48207406,32.14492434,31.77678711,32.31017518,33.36990077,32.23205726,32.43406594,32.18993231,32.36528656,30.60239456,32.44,32.61289108,29.18825874,32.69659186,27.19880898
1683,32.72,32.84630872,32.70051789,32.98919592,33.25902466,31.99375323,32.93452268,33.26145073,31.26019805,33.22034199,30.23906531,32.78754632,32.44661051,32.56194725,32.86650273,32.84936386,33.33656308,32.53629033,31.84875124,32.98850923,33.25813277,32.88074953,33.09112222,32.99680966,32.93589932,31.28285685,33.36,33.47103688,29.93742879,33.3157721,27.19880898
1684,33.55,33.18475771,33.02875384,33.47047499,33.61007981,32.3328,33.18833199,33.60581037,31.89338131,33.59149818,30.3517386,33.11329451,32.80877337,32.87362905,33.49161685,33.37277431,32.56539991,32.72570424,32.46966645,33.41704456,33.0464031,32.67976636,32.90356628,32.69742752,33.09822498,31.13082748,32.72,33.13097862,30.10873442,33.14708438,27.19880898
1685,33.48,33.4149462,33.19764187,33.51083931,33.86504203,32.41328935,33.75061757,33.90386093,31.81259377,33.79045172,30.23906531,33.99803127,33.68988041,33.69887995,34.3121785,34.13861891,33.66360647,33.49933157,33.19302902,34.32917322,33.25813277,33.41508541,33.44405999,33.30943419,33.80790056,31.75452757,33.55,33.82356594,30.37781484,33.85048215,27.19880898
1686,34.48,33.69143955,33.47560067,33.65585217,34.13330776,32.65489744,33.91727311,34.16506423,31.75703549,34.0808519,30.17780601,34.32441544,34.00583594,34.01624026,34.79362976,34.55846468,33.39349654,33.67678262,33.8605981,34.80965899,32.99186327,33.35927618,33.56504443,33.33648813,33.59871142,31.75303129,33.48,33.74158536,30.48755986,33.52082447,27.19880898
1687,34.85,34.94629121,34.70094949,34.70005956,35.42530388,33.82203112,34.30045903,35.44852867,32.3221066,35.37693012,31.68820348,35.51201028,35.17934403,35.13662138,35.9036177,35.6893784,34.55279929,34.71157972,35.1513132,35.44410354,32.99186327,34.00620643,34.2209885,34.09056012,34.23440807,32.36473431,34.48,34.56119953,30.8730524,34.41715276,28.53176988
